year,sex,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($),generation,category_id
2014,male,0,1083,0.0,"1,280,133,333",14093,Silent,2
1985,male,202,363000,55.65,"88,416,668,900",3264,G.I. Generation,3
1985,male,485,1997000,24.29,"88,416,668,900",3264,G.I. Generation,3
1985,male,414,3346300,12.37,"88,416,668,900",3264,Silent,3
1985,female,210,2304000,9.11,"88,416,668,900",3264,G.I. Generation,3
1985,male,177,2234200,7.92,"88,416,668,900",3264,Boomers,3
1985,female,41,537000,7.64,"88,416,668,900",3264,G.I. Generation,3
1985,male,156,2415200,6.46,"88,416,668,900",3264,Generation X,3
1985,female,142,3355300,4.23,"88,416,668,900",3264,Silent,3
1985,female,65,2185200,2.97,"88,416,668,900",3264,Boomers,3
1985,female,69,2354200,2.93,"88,416,668,900",3264,Generation X,3
1985,male,16,3044200,0.53,"88,416,668,900",3264,Generation X,3
1985,female,11,2955200,0.37,"88,416,668,900",3264,Generation X,3
1990,male,226,411100,54.97,"141,352,368,715",4859,G.I. Generation,3
1990,male,502,2128000,23.59,"141,352,368,715",4859,G.I. Generation,3
1990,male,439,3619000,12.13,"141,352,368,715",4859,Silent,3
1990,female,61,643000,9.49,"141,352,368,715",4859,G.I. Generation,3
1990,male,182,2297000,7.92,"141,352,368,715",4859,Boomers,3
1990,female,190,2477000,7.67,"141,352,368,715",4859,G.I. Generation,3
1990,male,174,2635000,6.6,"141,352,368,715",4859,Generation X,3
1990,female,163,3622000,4.5,"141,352,368,715",4859,Silent,3
1990,female,91,2568000,3.54,"141,352,368,715",4859,Generation X,3
1990,female,76,2251000,3.38,"141,352,368,715",4859,Boomers,3
1990,male,22,3269000,0.67,"141,352,368,715",4859,Generation X,3
1990,female,14,3171000,0.44,"141,352,368,715",4859,Generation X,3
1995,male,190,433800,43.8,"258,031,750,000",8232,G.I. Generation,3
1995,male,515,2214000,23.26,"258,031,750,000",8232,Silent,3
1995,male,485,3787800,12.8,"258,031,750,000",8232,Boomers,3
1995,male,218,2404900,9.06,"258,031,750,000",8232,Generation X,3
1995,male,277,3112100,8.9,"258,031,750,000",8232,Generation X,3
1995,female,49,742200,6.6,"258,031,750,000",8232,G.I. Generation,3
1995,female,134,2625900,5.1,"258,031,750,000",8232,Silent,3
1995,female,139,3950100,3.52,"258,031,750,000",8232,Boomers,3
1995,female,101,3053300,3.31,"258,031,750,000",8232,Generation X,3
1995,female,62,2396900,2.59,"258,031,750,000",8232,Generation X,3
1995,female,19,3261100,0.58,"258,031,750,000",8232,Millenials,3
1995,male,15,3363300,0.45,"258,031,750,000",8232,Millenials,3
2000,male,232,525161,44.18,"284,203,750,000",8462,G.I. Generation,3
2000,male,602,2333377,25.8,"284,203,750,000",8462,Silent,3
2000,male,578,4096814,14.11,"284,203,750,000",8462,Boomers,3
2000,male,463,3306109,14.0,"284,203,750,000",8462,Generation X,3
2000,male,331,2602314,12.72,"284,203,750,000",8462,Generation X,3
2000,female,133,2760512,4.82,"284,203,750,000",8462,Silent,3
2000,female,43,941957,4.56,"284,203,750,000",8462,G.I. Generation,3
2000,female,174,4253771,4.09,"284,203,750,000",8462,Boomers,3
2000,female,116,3249247,3.57,"284,203,750,000",8462,Generation X,3
2000,female,63,2617723,2.41,"284,203,750,000",8462,Generation X,3
2000,female,21,3396135,0.62,"284,203,750,000",8462,Millenials,3
2000,male,18,3502413,0.51,"284,203,750,000",8462,Millenials,3
2005,male,225,601176,37.43,"198,737,095,012",5590,Silent,3
2005,male,489,2505136,19.52,"198,737,095,012",5590,Silent,3
2005,male,638,3343414,19.08,"198,737,095,012",5590,Millenials,3
2005,male,451,3004991,15.01,"198,737,095,012",5590,Generation X,3
2005,male,539,4336453,12.43,"198,737,095,012",5590,Boomers,3
2005,female,161,2943135,5.47,"198,737,095,012",5590,Silent,3
2005,female,59,1101024,5.36,"198,737,095,012",5590,Silent,3
2005,female,148,3260468,4.54,"198,737,095,012",5590,Millenials,3
2005,female,171,4500787,3.8,"198,737,095,012",5590,Boomers,3
2005,female,104,3011376,3.45,"198,737,095,012",5590,Generation X,3
2005,male,52,3528848,1.47,"198,737,095,012",5590,Millenials,3
2005,female,21,3413809,0.62,"198,737,095,012",5590,Millenials,3
2010,male,206,657096,31.35,"423,627,422,092",11273,Silent,3
2010,male,683,3455127,19.77,"423,627,422,092",11273,Millenials,3
2010,male,485,3237957,14.98,"423,627,422,092",11273,Generation X,3
2010,male,397,2740656,14.49,"423,627,422,092",11273,Silent,3
2010,male,573,4648068,12.33,"423,627,422,092",11273,Generation X,3
2010,female,150,3358103,4.47,"423,627,422,092",11273,Millenials,3
2010,female,162,4804030,3.37,"423,627,422,092",11273,Generation X,3
2010,female,101,3210247,3.15,"423,627,422,092",11273,Generation X,3
2010,female,99,3212253,3.08,"423,627,422,092",11273,Silent,3
2010,female,34,1234182,2.75,"423,627,422,092",11273,Silent,3
2010,male,33,3570316,0.92,"423,627,422,092",11273,Generation Z,3
2010,female,20,3450419,0.58,"423,627,422,092",11273,Generation Z,3
2011,male,178,674738,26.38,"530,163,281,575",13946,Silent,3
2011,male,693,3471151,19.96,"530,163,281,575",13946,Millenials,3
2011,male,510,3258804,15.65,"530,163,281,575",13946,Millenials,3
2011,male,416,2788575,14.92,"530,163,281,575",13946,Boomers,3
2011,male,504,4738525,10.64,"530,163,281,575",13946,Generation X,3
2011,female,172,3372659,5.1,"530,163,281,575",13946,Millenials,3
2011,female,157,4893085,3.21,"530,163,281,575",13946,Generation X,3
2011,female,102,3224774,3.16,"530,163,281,575",13946,Millenials,3
2011,female,93,3268753,2.85,"530,163,281,575",13946,Boomers,3
2011,female,30,1260121,2.38,"530,163,281,575",13946,Silent,3
2011,female,29,3472180,0.84,"530,163,281,575",13946,Generation Z,3
2011,male,28,3592374,0.78,"530,163,281,575",13946,Generation Z,3
2012,male,225,688560,32.68,"545,982,375,701",14203,Silent,3
2012,male,745,3480902,21.4,"545,982,375,701",14203,Millenials,3
2012,male,616,3268154,18.85,"545,982,375,701",14203,Millenials,3
2012,male,451,2839783,15.88,"545,982,375,701",14203,Boomers,3
2012,male,554,4841057,11.44,"545,982,375,701",14203,Generation X,3
2012,female,204,3380770,6.03,"545,982,375,701",14203,Millenials,3
2012,female,164,4993138,3.28,"545,982,375,701",14203,Generation X,3
2012,female,108,3328463,3.24,"545,982,375,701",14203,Boomers,3
2012,female,102,3228400,3.16,"545,982,375,701",14203,Millenials,3
2012,female,33,1282726,2.57,"545,982,375,701",14203,Silent,3
2012,male,29,3615254,0.8,"545,982,375,701",14203,Generation Z,3
2012,female,17,3494571,0.49,"545,982,375,701",14203,Generation Z,3
2013,male,168,699046,24.03,"552,025,140,252",14206,Silent,3
2013,male,696,3486661,19.96,"552,025,140,252",14206,Millenials,3
2013,male,499,3271373,15.25,"552,025,140,252",14206,Millenials,3
2013,male,398,2894129,13.75,"552,025,140,252",14206,Boomers,3
2013,male,604,4950850,12.2,"552,025,140,252",14206,Generation X,3
2013,female,167,3384642,4.93,"552,025,140,252",14206,Millenials,3
2013,female,102,3226464,3.16,"552,025,140,252",14206,Millenials,3
2013,female,157,5099167,3.08,"552,025,140,252",14206,Generation X,3
2013,female,102,3390673,3.01,"552,025,140,252",14206,Boomers,3
2013,female,29,1303352,2.23,"552,025,140,252",14206,Silent,3
2013,female,32,3515742,0.91,"552,025,140,252",14206,Generation Z,3
2013,male,33,3637026,0.91,"552,025,140,252",14206,Generation Z,3
2014,male,192,706897,27.16,"526,319,673,732",13400,Silent,3
2014,male,738,3492454,21.13,"526,319,673,732",13400,Millenials,3
2014,male,531,3276955,16.2,"526,319,673,732",13400,Millenials,3
2014,male,405,2951616,13.72,"526,319,673,732",13400,Boomers,3
2014,male,644,5060862,12.73,"526,319,673,732",13400,Generation X,3
2014,female,204,3388324,6.02,"526,319,673,732",13400,Millenials,3
2014,female,196,5203634,3.77,"526,319,673,732",13400,Generation X,3
2014,female,118,3227239,3.66,"526,319,673,732",13400,Millenials,3
2014,female,109,3454994,3.15,"526,319,673,732",13400,Boomers,3
2014,female,25,1323654,1.89,"526,319,673,732",13400,Silent,3
2014,female,35,3533961,0.99,"526,319,673,732",13400,Generation Z,3
2014,male,34,3655965,0.93,"526,319,673,732",13400,Generation Z,3
1990,male,25,332700,7.51,"2,256,838,858",756,Silent,4
1990,male,2,26900,7.43,"2,256,838,858",756,G.I. Generation,4
1990,male,11,183800,5.98,"2,256,838,858",756,G.I. Generation,4
1990,male,16,307100,5.21,"2,256,838,858",756,Boomers,4
1990,female,15,358000,4.19,"2,256,838,858",756,Silent,4
1990,male,10,272500,3.67,"2,256,838,858",756,Generation X,4
1990,female,6,224100,2.68,"2,256,838,858",756,G.I. Generation,4
1990,female,1,48900,2.04,"2,256,838,858",756,G.I. Generation,4
1990,female,4,320700,1.25,"2,256,838,858",756,Boomers,4
1990,female,3,258500,1.16,"2,256,838,858",756,Generation X,4
1990,female,0,316900,0.0,"2,256,838,858",756,Generation X,4
1990,male,0,333600,0.0,"2,256,838,858",756,Generation X,4
1995,male,29,242300,11.97,"1,468,317,350",426,Silent,4
1995,male,32,395200,8.1,"1,468,317,350",426,Boomers,4
1995,male,21,289500,7.25,"1,468,317,350",426,Generation X,4
1995,male,2,28000,7.14,"1,468,317,350",426,G.I. Generation,4
1995,female,2,51400,3.89,"1,468,317,350",426,G.I. Generation,4
1995,female,11,295200,3.73,"1,468,317,350",426,Silent,4
1995,female,11,313300,3.51,"1,468,317,350",426,Generation X,4
1995,male,10,313600,3.19,"1,468,317,350",426,Generation X,4
1995,female,8,453600,1.76,"1,468,317,350",426,Boomers,4
1995,female,3,303200,0.99,"1,468,317,350",426,Generation X,4
1995,male,1,388200,0.26,"1,468,317,350",426,Millenials,4
1995,female,0,369700,0.0,"1,468,317,350",426,Millenials,4
2000,male,4,37600,10.64,"1,911,563,665",530,G.I. Generation,4
2000,female,5,66500,7.52,"1,911,563,665",530,G.I. Generation,4
2000,male,14,234300,5.98,"1,911,563,665",530,Silent,4
2000,male,18,481100,3.74,"1,911,563,665",530,Boomers,4
2000,male,5,283300,1.76,"1,911,563,665",530,Generation X,4
2000,male,6,358000,1.68,"1,911,563,665",530,Generation X,4
2000,female,4,280400,1.43,"1,911,563,665",530,Generation X,4
2000,female,4,292700,1.37,"1,911,563,665",530,Silent,4
2000,female,1,555300,0.18,"1,911,563,665",530,Boomers,4
2000,female,0,341100,0.0,"1,911,563,665",530,Generation X,4
2000,female,0,328000,0.0,"1,911,563,665",530,Millenials,4
2000,male,0,348200,0.0,"1,911,563,665",530,Millenials,4
2010,male,6,52333,11.47,"9,260,284,938",3460,Silent,4
2010,male,13,193100,6.73,"9,260,284,938",3460,Silent,4
2010,male,10,202936,4.93,"9,260,284,938",3460,Generation X,4
2010,male,15,346739,4.33,"9,260,284,938",3460,Generation X,4
2010,male,8,252152,3.17,"9,260,284,938",3460,Millenials,4
2010,female,7,253182,2.76,"9,260,284,938",3460,Silent,4
2010,female,2,81770,2.45,"9,260,284,938",3460,Silent,4
2010,female,2,167142,1.2,"9,260,284,938",3460,Generation Z,4
2010,female,5,427571,1.17,"9,260,284,938",3460,Generation X,4
2010,male,2,191722,1.04,"9,260,284,938",3460,Generation Z,4
2010,female,2,270727,0.74,"9,260,284,938",3460,Millenials,4
2010,female,1,236851,0.42,"9,260,284,938",3460,Generation X,4
2011,female,6,86643,6.92,"10,142,111,334",3798,Silent,4
2011,male,23,341199,6.74,"10,142,111,334",3798,Generation X,4
2011,male,11,194982,5.64,"10,142,111,334",3798,Boomers,4
2011,male,8,209914,3.81,"10,142,111,334",3798,Millenials,4
2011,male,2,55565,3.6,"10,142,111,334",3798,Silent,4
2011,male,7,245227,2.85,"10,142,111,334",3798,Millenials,4
2011,female,4,259823,1.54,"10,142,111,334",3798,Millenials,4
2011,female,3,256541,1.17,"10,142,111,334",3798,Boomers,4
2011,female,3,422179,0.71,"10,142,111,334",3798,Generation X,4
2011,female,0,244912,0.0,"10,142,111,334",3798,Millenials,4
2011,female,0,164004,0.0,"10,142,111,334",3798,Generation Z,4
2011,male,0,189377,0.0,"10,142,111,334",3798,Generation Z,4
2012,male,5,56598,8.83,"10,619,320,049",3773,Silent,4
2012,male,26,376743,6.9,"10,619,320,049",3773,Generation X,4
2012,male,11,212482,5.18,"10,619,320,049",3773,Boomers,4
2012,male,11,245443,4.48,"10,619,320,049",3773,Millenials,4
2012,female,3,91237,3.29,"10,619,320,049",3773,Silent,4
2012,male,5,255119,1.96,"10,619,320,049",3773,Millenials,4
2012,female,7,428953,1.63,"10,619,320,049",3773,Generation X,4
2012,female,4,259768,1.54,"10,619,320,049",3773,Millenials,4
2012,female,4,273394,1.46,"10,619,320,049",3773,Boomers,4
2012,female,2,255088,0.78,"10,619,320,049",3773,Millenials,4
2012,male,1,192409,0.52,"10,619,320,049",3773,Generation Z,4
2012,female,0,167066,0.0,"10,619,320,049",3773,Generation Z,4
2013,male,7,58640,11.94,"11,121,465,767",3957,Silent,4
2013,female,6,95093,6.31,"11,121,465,767",3957,Silent,4
2013,male,11,218063,5.04,"11,121,465,767",3957,Boomers,4
2013,female,11,280566,3.92,"11,121,465,767",3957,Boomers,4
2013,male,9,250487,3.59,"11,121,465,767",3957,Millenials,4
2013,male,13,370440,3.51,"11,121,465,767",3957,Generation X,4
2013,female,6,423841,1.42,"11,121,465,767",3957,Generation X,4
2013,male,2,243687,0.82,"11,121,465,767",3957,Millenials,4
2013,male,1,193754,0.52,"11,121,465,767",3957,Generation Z,4
2013,female,1,242386,0.41,"11,121,465,767",3957,Millenials,4
2013,female,0,265616,0.0,"11,121,465,767",3957,Millenials,4
2013,female,0,168091,0.0,"11,121,465,767",3957,Generation Z,4
2014,male,9,60108,14.97,"11,609,512,940",4142,Silent,4
2014,female,6,98118,6.12,"11,609,512,940",4142,Silent,4
2014,male,12,224430,5.35,"11,609,512,940",4142,Boomers,4
2014,male,13,363362,3.58,"11,609,512,940",4142,Generation X,4
2014,male,6,253461,2.37,"11,609,512,940",4142,Millenials,4
2014,female,4,288822,1.38,"11,609,512,940",4142,Boomers,4
2014,male,3,230760,1.3,"11,609,512,940",4142,Millenials,4
2014,female,2,227895,0.88,"11,609,512,940",4142,Millenials,4
2014,female,1,171332,0.58,"11,609,512,940",4142,Generation Z,4
2014,female,2,417829,0.48,"11,609,512,940",4142,Generation X,4
2014,female,0,269937,0.0,"11,609,512,940",4142,Millenials,4
2014,male,0,196975,0.0,"11,609,512,940",4142,Generation Z,4
1990,male,87,276900,31.42,"310,838,014,621",19665,G.I. Generation,5
1990,male,418,1415000,29.54,"310,838,014,621",19665,Boomers,5
1990,male,374,1405900,26.6,"310,838,014,621",19665,Generation X,5
1990,male,325,1266400,25.66,"310,838,014,621",19665,G.I. Generation,5
1990,male,549,2220600,24.72,"310,838,014,621",19665,Silent,5
1990,female,37,465600,7.95,"310,838,014,621",19665,G.I. Generation,5
1990,female,109,1401200,7.78,"310,838,014,621",19665,Boomers,5
1990,female,98,1349000,7.26,"310,838,014,621",19665,G.I. Generation,5
1990,female,136,2154800,6.31,"310,838,014,621",19665,Silent,5
1990,female,64,1354800,4.72,"310,838,014,621",19665,Generation X,5
1990,male,5,1281300,0.39,"310,838,014,621",19665,Generation X,5
1990,female,0,1215500,0.0,"310,838,014,621",19665,Generation X,5
1995,male,440,1421100,30.96,"367,216,364,716",21902,Generation X,5
1995,male,88,328300,26.8,"367,216,364,716",21902,G.I. Generation,5
1995,male,587,2507400,23.41,"367,216,364,716",21902,Boomers,5
1995,male,318,1374600,23.13,"367,216,364,716",21902,Generation X,5
1995,male,274,1366600,20.05,"367,216,364,716",21902,Silent,5
1995,female,180,2472200,7.28,"367,216,364,716",21902,Boomers,5
1995,female,91,1417500,6.42,"367,216,364,716",21902,Generation X,5
1995,female,81,1321300,6.13,"367,216,364,716",21902,Generation X,5
1995,female,79,1430300,5.52,"367,216,364,716",21902,Silent,5
1995,female,28,539200,5.19,"367,216,364,716",21902,G.I. Generation,5
1995,male,4,1326300,0.3,"367,216,364,716",21902,Millenials,5
1995,female,0,1261500,0.0,"367,216,364,716",21902,Millenials,5
2000,male,466,1430700,32.57,"415,034,227,218",23219,Generation X,5
2000,male,115,416077,27.64,"415,034,227,218",23219,G.I. Generation,5
2000,male,745,2769752,26.9,"415,034,227,218",23219,Boomers,5
2000,male,271,1333011,20.33,"415,034,227,218",23219,Generation X,5
2000,male,281,1522620,18.46,"415,034,227,218",23219,Silent,5
2000,female,106,1445332,7.33,"415,034,227,218",23219,Generation X,5
2000,female,200,2782583,7.19,"415,034,227,218",23219,Boomers,5
2000,female,78,1285283,6.07,"415,034,227,218",23219,Generation X,5
2000,female,87,1549060,5.62,"415,034,227,218",23219,Silent,5
2000,female,33,652895,5.05,"415,034,227,218",23219,G.I. Generation,5
2000,male,8,1377301,0.58,"415,034,227,218",23219,Millenials,5
2000,female,1,1309796,0.08,"415,034,227,218",23219,Millenials,5
2010,male,816,3076853,26.52,"1,144,260,547,873",54887,Generation X,5
2010,male,151,582009,25.94,"1,144,260,547,873",54887,Silent,5
2010,male,311,1606526,19.36,"1,144,260,547,873",54887,Generation X,5
2010,male,360,2051197,17.55,"1,144,260,547,873",54887,Silent,5
2010,male,222,1618860,13.71,"1,144,260,547,873",54887,Millenials,5
2010,female,228,3132534,7.28,"1,144,260,547,873",54887,Generation X,5
2010,female,94,1579905,5.95,"1,144,260,547,873",54887,Generation X,5
2010,female,43,805401,5.34,"1,144,260,547,873",54887,Silent,5
2010,female,80,1521652,5.26,"1,144,260,547,873",54887,Millenials,5
2010,female,104,2103428,4.94,"1,144,260,547,873",54887,Silent,5
2010,male,7,1420846,0.49,"1,144,260,547,873",54887,Generation Z,5
2010,female,4,1348336,0.3,"1,144,260,547,873",54887,Generation Z,5
2011,male,146,588053,24.83,"1,394,280,784,778",66770,Silent,5
2011,male,704,3072726,22.91,"1,394,280,784,778",66770,Generation X,5
2011,male,347,1610295,21.55,"1,394,280,784,778",66770,Millenials,5
2011,male,366,2104816,17.39,"1,394,280,784,778",66770,Boomers,5
2011,male,242,1570069,15.41,"1,394,280,784,778",66770,Millenials,5
2011,female,230,3124328,7.36,"1,394,280,784,778",66770,Generation X,5
2011,female,93,1495053,6.22,"1,394,280,784,778",66770,Millenials,5
2011,female,118,2139108,5.52,"1,394,280,784,778",66770,Boomers,5
2011,female,45,817927,5.5,"1,394,280,784,778",66770,Silent,5
2011,female,85,1584036,5.37,"1,394,280,784,778",66770,Millenials,5
2011,female,9,1351751,0.67,"1,394,280,784,778",66770,Generation Z,5
2011,male,7,1423748,0.49,"1,394,280,784,778",66770,Generation Z,5
2012,male,158,606842,26.04,"1,543,411,012,580",72669,Silent,5
2012,male,802,3098534,25.88,"1,543,411,012,580",72669,Generation X,5
2012,male,351,1657638,21.17,"1,543,411,012,580",72669,Millenials,5
2012,male,396,2162980,18.31,"1,543,411,012,580",72669,Boomers,5
2012,male,217,1579672,13.74,"1,543,411,012,580",72669,Millenials,5
2012,female,258,3149749,8.19,"1,543,411,012,580",72669,Generation X,5
2012,female,109,1503934,7.25,"1,543,411,012,580",72669,Millenials,5
2012,female,52,832122,6.25,"1,543,411,012,580",72669,Silent,5
2012,female,98,1630077,6.01,"1,543,411,012,580",72669,Millenials,5
2012,female,123,2206179,5.58,"1,543,411,012,580",72669,Boomers,5
2012,female,10,1368580,0.73,"1,543,411,012,580",72669,Generation Z,5
2012,male,6,1442602,0.42,"1,543,411,012,580",72669,Generation Z,5
2013,male,160,627275,25.51,"1,573,696,522,007",72856,Silent,5
2013,male,754,3118829,24.18,"1,573,696,522,007",72856,Generation X,5
2013,male,329,1702401,19.33,"1,573,696,522,007",72856,Millenials,5
2013,male,418,2221866,18.81,"1,573,696,522,007",72856,Boomers,5
2013,male,267,1591539,16.78,"1,573,696,522,007",72856,Millenials,5
2013,female,275,3171477,8.67,"1,573,696,522,007",72856,Generation X,5
2013,female,145,2276104,6.37,"1,573,696,522,007",72856,Boomers,5
2013,female,95,1512779,6.28,"1,573,696,522,007",72856,Millenials,5
2013,female,95,1676648,5.67,"1,573,696,522,007",72856,Millenials,5
2013,female,48,847577,5.66,"1,573,696,522,007",72856,Silent,5
2013,male,16,1464302,1.09,"1,573,696,522,007",72856,Generation Z,5
2013,female,6,1389383,0.43,"1,573,696,522,007",72856,Generation Z,5
2014,male,866,3130341,27.66,"1,464,955,475,994",66809,Generation X,5
2014,male,164,649925,25.23,"1,464,955,475,994",66809,Silent,5
2014,male,404,1730968,23.34,"1,464,955,475,994",66809,Millenials,5
2014,male,471,2279114,20.67,"1,464,955,475,994",66809,Boomers,5
2014,male,271,1604935,16.89,"1,464,955,475,994",66809,Millenials,5
2014,female,277,3189475,8.68,"1,464,955,475,994",66809,Generation X,5
2014,female,119,1716803,6.93,"1,464,955,475,994",66809,Millenials,5
2014,female,157,2344644,6.7,"1,464,955,475,994",66809,Boomers,5
2014,female,96,1520955,6.31,"1,464,955,475,994",66809,Millenials,5
2014,female,45,865915,5.2,"1,464,955,475,994",66809,Silent,5
2014,female,15,1408758,1.06,"1,464,955,475,994",66809,Generation Z,5
2014,male,6,1485754,0.4,"1,464,955,475,994",66809,Generation Z,5
1985,male,152,156535,97.1,"69,386,774,475",9759,G.I. Generation,6
1985,male,355,584253,60.76,"69,386,774,475",9759,G.I. Generation,6
1985,male,515,940526,54.76,"69,386,774,475",9759,Silent,6
1985,male,232,548783,42.28,"69,386,774,475",9759,Boomers,6
1985,female,110,339223,32.43,"69,386,774,475",9759,G.I. Generation,6
1985,male,207,653728,31.66,"69,386,774,475",9759,Generation X,6
1985,female,220,842978,26.1,"69,386,774,475",9759,G.I. Generation,6
1985,female,186,936799,19.85,"69,386,774,475",9759,Silent,6
1985,female,56,544765,10.28,"69,386,774,475",9759,Boomers,6
1985,female,50,633592,7.89,"69,386,774,475",9759,Generation X,6
1985,male,6,475074,1.26,"69,386,774,475",9759,Generation X,6
1985,female,2,453859,0.44,"69,386,774,475",9759,Generation X,6
1990,male,186,165206,112.59,"166,463,386,663",23020,G.I. Generation,6
1990,male,320,598225,53.49,"166,463,386,663",23020,G.I. Generation,6
1990,male,418,985787,42.4,"166,463,386,663",23020,Silent,6
